Country/Region,Region,Birth Rate,Business Tax Rate,CO2 Emissions,CO2 Emissions per Capita,Days to Start Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Total Health Expenditures,Tourism Inbound,Tourism Outbound
Sao Tome and Principe,Africa,0.036,0.333,99,0.000555468,144,,"201,037,917","1,127.98",0.071,86,424,0.04,0.188,0.289,68,64,0.576,"14,273,692.11","11,100,000","600,000"
Kiribati,Oceania,0.023,0.318,62,0.000634317,31,,"150,431,114","1,539.05",0.112,162,120,0.048,0.091,,71,65,0.108,"16,848,284.77",,
Tonga,Oceania,0.027,0.254,158,0.001517801,25,,"369,212,477","3,546.78",0.048,172,164,0.012,0.16,0.115,75,69,0.522,"17,722,198.90",,
Comoros,Africa,0.037,2.179,139,0.00020349,22,,"543,376,206",795.478436671,0.034,27,100,0.063,0.051,0.105,62,59,0.242,"18,474,791.00","35,000,000","19,000,000"
Marshall Islands,Oceania,,0.648,103,0.001964599,17,,"163,200,000","3,112.84",0.16,542,128,0.032,0.07,,,,,"26,112,000","3,300,000",
Dominica,The Americas,0.013,0.37,136,0.001910998,13,,"475,185,185","6,677.04",0.06,400,117,0.011,0.475,0.095,,,1.483,"28,511,111.10","95,000,000","13,000,000"
St. Vincent and the Grenadines,The Americas,0.017,0.387,209,0.001911888,10,,"681,481,481","6,234.05",0.047,293,111,0.019,0.385,0.092,74,70,1.206,"32,029,629.61","86,000,000","15,000,000"
Vanuatu,Oceania,0.027,0.084,117,0.000495135,47,,"700,804,286","2,965.75",0.047,139,120,0.016,0.08,0.055,73,69,0.719,"32,937,801.44","242,000,000","33,000,000"
Seychelles,Africa,0.017,0.441,704,0.007842264,39,,"973,355,738","10,842.77",0.037,394,76,0.012,0.41,0.127,78,69,1.289,"36,014,162.31","29,000,000","5,000,000"
Samoa,Oceania,0.028,0.189,161,0.000865456,9,,"572,971,727","3,080.01",0.064,201,224,0.016,0.07,0.107,76,69,,"36,670,190.53","124,000,000","25,200,000"
St. Kitts and Nevis,The Americas,,0.525,249,0.004756265,19,,"692,222,222","13,222.46",0.054,739,155,0.009,0.76,0.086,,,1.528,"37,379,999.99","90,000,000","13,000,000"
"Micronesia, Fed. Sts.",Oceania,0.024,0.587,103,0.000994026,16,,"294,117,230","2,838.45",0.138,393,128,0.033,0.2,0.151,69,68,0.266,"40,588,177.74","29,000,000","8,000,000"
"Gambia, The",Africa,0.043,2.921,473,0.00028144,27,,"951,805,801",566.335325233,0.047,27,376,0.052,0.092,0.27,59,57,0.88,"44,734,872.65","80,000,000","11,000,000"
Grenada,The Americas,0.019,0.453,260,0.002483831,15,,"771,111,097","7,366.58",0.06,438,140,0.012,0.27,0.106,75,70,1.165,"46,266,665.82","112,000,000","10,000,000"
Solomon Islands,Oceania,0.033,0.262,202,0.000383704,56,,"681,587,105","1,294.69",0.074,95,80,0.027,0.05,0.144,68,66,0.219,"50,437,445.77","65,400,000","51,200,000"
Timor-Leste,Asia,0.036,0.11,183,0.000171604,110,,"934,300,000",876.117887227,0.056,46,276,0.052,0.002,0.11,68,64,0.438,"52,320,800","31,000,000","68,000,000"
Guinea-Bissau,Africa,0.039,0.459,238,0.000150004,216,,"835,390,893",526.521023885,0.071,38,208,0.085,0.025,,55,52,0.427,"59,312,753.40","13,600,000","29,500,000"
Antigua and Barbuda,The Americas,0.017,0.41,513,0.005880802,21,,"1,135,555,556","13,017.50",0.057,736,207,0.009,0.47,0.11,78,73,1.926,"64,726,666.69","298,000,000","52,000,000"
Bhutan,Asia,0.021,0.408,477,0.000665329,46,,"1,585,396,256","2,211.34",0.041,90,274,0.034,0.136,0.14,67,67,0.55,"65,001,246.50","64,000,000","43,000,000"
Eritrea,Africa,0.038,0.845,513,8.94E-05,84,745,"2,117,039,511",368.747758249,0.032,12,216,0.039,0.006,,64,59,0.032,"67,745,264.35",,
Central African Republic,Africa,0.035,2.038,264,6.07E-05,23,,"1,986,014,759",456.563408623,0.039,18,504,0.103,0.02,,50,46,0.225,"77,454,575.60","7,200,000","61,000,000"
Belize,The Americas,0.024,0.332,422,0.001367488,44,,"1,398,500,000","4,531.83",0.058,265,147,0.016,0.14,0.139,76,70,0.629,"81,113,000","264,000,000","39,000,000"
St. Lucia,The Americas,0.016,0.34,403,0.002271741,14,,"1,252,222,222","7,058.87",0.078,525,92,0.014,0.433,0.106,77,72,1.117,"97,673,333.32","309,000,000","48,000,000"
Djibouti,Africa,0.028,0.378,539,0.000646255,37,,"1,128,611,700","1,353.19",0.088,111,90,0.062,0.065,0.103,62,59,0.199,"99,317,829.60","18,000,000","20,500,000"
Maldives,Asia,0.022,0.093,"1,074",0.003297574,9,,"2,134,104,884","6,552.48",0.058,379,,0.011,0.265,0.104,78,76,1.518,"123,778,083.27","1,713,000,000","252,000,000"
Fiji,Oceania,0.022,0.393,"1,291",0.001500188,46,,"3,225,095,136","3,747.67",0.042,154,163,0.02,0.2,0.075,72,66,0.811,"135,453,995.71","809,000,000","100,000,000"
Guyana,The Americas,0.022,0.388,"1,701",0.002163775,24,,"2,259,288,396","2,873.95",0.066,188,288,0.032,0.299,0.145,68,63,0.713,"149,113,034.14","80,000,000","73,000,000"
Liberia,Africa,0.037,0.429,799,0.00020187,20,,"1,292,696,476",326.604280455,0.131,43,141,0.06,0.023,0.142,60,59,0.397,"169,343,238.36","12,000,000","134,000,000"
Burundi,Africa,0.045,1.545,308,3.34E-05,13,,"2,026,864,414",219.5297994,0.088,19,211,0.061,0.01,0.124,54,51,0.182,"178,364,068.43","2,100,000","35,000,000"
Laos,Asia,0.028,0.323,"1,874",0.000293009,93,,"7,181,441,152","1,122.85",0.026,29,362,0.059,0.07,0.226,68,66,0.626,"186,717,469.95","385,000,000","215,000,000"
Mauritania,Africa,0.035,0.682,"2,215",0.000613672,19,,"3,526,946,625",977.150518643,0.06,58,696,0.07,0.04,0.17,63,60,0.769,"211,616,797.50",,
Lesotho,Africa,0.028,0.196,18,8.96E-06,40,,"2,175,685,681","1,083.01",0.108,118,324,0.077,0.039,0.112,48,47,0.492,"234,974,053.55","25,000,000","278,000,000"
Monaco,Europe,,,,,,,"5,350,993,377","145,229.84",0.044,"6,431",,0.003,0.75,,,,0.635,"235,443,708.59",,
Togo,Africa,0.037,0.503,"1,540",0.000244211,84,"2,692","3,172,945,506",503.161823935,0.075,37,270,0.061,0.03,,56,55,0.413,"237,970,912.95","105,000,000","89,000,000"
Suriname,The Americas,0.018,0.279,"2,384",0.004541298,694,,"4,368,033,802","8,320.70",0.058,483,199,0.022,0.316,0.116,74,67,0.993,"253,345,960.52","69,000,000","41,000,000"
Congo (Brazzaville),Africa,0.039,0.663,"2,028",0.000493225,161,"1,511","12,007,880,067","2,920.41",0.023,67,606,0.042,0.05,,59,56,0.904,"276,181,241.54",,
Benin,Africa,0.038,0.659,"5,189",0.000545648,31,"3,653","6,558,416,322",689.648331332,0.043,30,270,0.062,0.031,,60,57,0.744,"282,011,901.85","149,000,000","91,000,000"
Guinea,Africa,0.038,0.879,"1,236",0.000113644,40,,"4,735,956,476",435.448888027,0.062,27,416,0.071,0.01,,56,55,0.368,"293,629,301.51","2,000,000","17,000,000"
Montenegro,Europe,0.012,0.254,"2,582",0.004163992,10,"1,174","4,114,881,347","6,636.07",0.072,476,372,0.006,0.375,0.095,77,72,1.887,"296,271,456.98","765,000,000","72,000,000"
